#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_zxx+is_zmth+ix_wikip,#item+rem+i_zxx+is_latn+ix_hxl+ix_hxlix,#item+rem+i_zxx+is_latn+ix_hxl+ix_hxlvoc
1613:3:1,1,,ix_unpcode,+v_pcode
1613:3:2,2,P498,ix_iso4217,+v_currency
1613:3:3,3,P297,ix_iso3166p1a2,+v_iso2
1613:3:4,4,P298,ix_iso3166p1a3,+v_iso3
1613:3:5,5,P299,ix_iso3166p1n,
1613:3:6,6,P882,ix_usfips,
1613:3:7,7,P901,,
1613:3:8,8,P218,ix_iso639p1a2,
1613:3:9,9,P219,ix_iso639p2a2,
1613:3:10,10,P220,ix_iso639p3a3,
1613:3:11,11,P1394,ix_glotolog,
1613:3:12,12,P506,ix_iso15924a4,
1613:3:13,13,P305,ix_bcp47,
1613:3:14,14,P229,,+v_iata_airline
1613:3:15,15,P230,,+v_icao_airline
1613:3:16,16,P238,,+v_iata_airport
1613:3:17,17,P239,,+v_icao_airport
1613:3:18,18,P402,ix_osmrelid,
1613:3:100,100,P734,,
1613:3:11,11,P735,,
